date,hour,bdaddr
2022-06-25,7,8123
2022-06-25,8,10707
2022-06-25,9,17881
2022-06-25,10,25316
2022-06-25,11,26055
2022-06-25,12,28202
2022-06-25,13,29627
2022-06-25,14,34745
2022-06-25,15,31062
2022-06-25,16,28698
2022-06-25,17,28365
2022-06-25,18,28394
2022-06-25,19,25049
2022-06-25,20,19042
2022-06-25,21,15176
2022-06-25,22,13121
2022-06-25,23,10069
2022-06-26,0,7991
2022-06-26,1,7193
2022-06-26,2,5983
2022-06-26,3,5762
2022-06-26,4,4636
2022-06-26,5,5984
2022-06-26,6,5691
2022-06-26,7,7138
2022-06-26,8,10924
2022-06-26,9,17415
2022-06-26,10,26877
2022-06-26,11,29588
2022-06-26,12,29825
2022-06-26,13,28765
2022-06-26,14,28512
2022-06-26,15,24722
2022-06-26,16,25472
2022-06-26,17,26155
2022-06-26,18,23681
2022-06-26,19,21877
2022-06-26,20,16741
2022-06-26,21,13500
2022-06-26,22,9360
2022-06-26,23,7439
2022-06-27,0,4977
2022-06-27,1,4782
2022-06-27,2,4405
2022-06-27,3,4309
